question,label
新しいiPhone17ってどんな感じ？,0
特徴は何ですか？,0
特徴は何だ？,0
前のモデルと比べて何が変わったの？,0
買う価値あるかな？,0
デザインはどう？持ちやすい？,0
画面は見やすい？屋外でも大丈夫？,0
動画やゲームは滑らかに見れる？,0
ProMotionって何？体感で違いはある？,0
画面は割れにくい？傷はつきにくい？,0
バッテリーは本当に一日持つ？,0
急ぎで充電するとどれくらい使える？,0
充電器は何Wがいいの？,0
カメラはきれいに撮れる？暗い場所でも大丈夫？,0
フロントカメラで自分を撮るとき、自由に枠に収められる？,0
グループ写真で全員入る？,0
バックカメラとフロントカメラで同時に動画撮影できる？,0
動画は動きながらでも滑らか？ブレは少ない？,0
写真のズームや広角は使いやすい？,0
超高解像度で写真や動画を撮るときの保存は便利？,0
ストレージ容量は十分？,0
チップの性能でゲームやアプリは快適？,0
AI機能やスマート機能は日常で便利に使える？,0
FaceTimeやビデオ会議で自分の顔はきれいに映る？,0
周囲の騒音があっても通話や録音は大丈夫？,0
スクロールやアプリ切り替えはサクサク動く？,0
通知やライブ表示はわかりやすい？,0
アクションボタンでよく使う機能は簡単に操作できる？,0
丸みやベゼルは持ちやすい？,0
前面の素材は頑丈？長く使える？,0
暗い場所でも写真や動画はちゃんと撮れる？,0
作文や画像生成などAI機能は簡単に使える？,0
ネットや通信は快適？外でもつながりやすい？,0
安全機能は実際に役立つ？,0
写真や動画をSNSにすぐアップできる？,0
一日中使ったとき本体は熱くなる？,0
複数のアプリを同時に使うと動作は安定してる？,0
iOS26は使いやすい？前のバージョンと比べて便利？,0
動画編集や写真加工は快適にできる？,0
アクセサリーやケースは前のモデルと共通で使える？,0
耐水や防塵性能はどう？,0
撮影の自由度は高い？ズームやフレーム調整は簡単？,0
新しい機能は日常生活で役立つ？,0
ゲームやアプリのロード時間は短い？,0
アップデートで機能は増える？,0
ワイヤレス通信は高速で安定してる？,0
5GやWi-Fi7は実際便利？,0
バッテリー長持ちの設定は簡単にできる？,0
新しいiPhone17 Proってどんな感じ？,0
ボディは丈夫かな？落としても大丈夫？,0
熱間鍛造アルミニウムUnibodyって何？触った感じはどう？,0
A19 Proチップって速い？ゲームやアプリは快適？,0
冷却システムで熱くならない？長時間でも安定する？,0
バッテリーは本当に長持ちする？,0
フル充電でどれくらい使える？,0
急速充電はどれくらいでどのくらい使える？,0
ProMotionでスクロールやゲームは滑らか？,0
反射防止や輝度は改善されてる？,0
カメラは本当に48MPなの？,0
ズームはどれくらい寄れる？,0
フロントカメラのセンターフレームって便利？,0
グループセルフィーは自動で全員入る？,0
マクロ写真や広角写真はきれいに撮れる？,0
暗い場所でも写真は明るくて鮮明？,0
光学ズームレンジは16倍ってどう使うの？,0
ProResRAWや4K 120fps動画は撮れる？,0
動画手ぶれ補正はどれくらい効く？,0
映画レベルの映像制作は本当にできる？,0
Apple Log 2やタイムコード対応って便利？,0
バックカメラとフロントカメラで同時撮影できる？,0
AIによる自動フレーミングはどれくらい正確？,0
FaceTimeやオンラインミーティングで便利？,0
ホームビデオからプロ用映像まで対応できる？,0
スクロールやアプリ切り替えはサクサク？,0
耐久性はどう？背面や前面は割れにくい？,0
本体は長時間使うと熱くなる？,0
重さや持ちやすさはどう？,0
Wi-Fi7やBluetooth6、5G、eSIMは実際便利？,0
撮影した写真や動画は保存や共有しやすい？,0
AI機能やApple Intelligenceは日常で便利に使える？,0
複数アプリ同時使用でも動作は安定？,0
ナイトモードや暗所撮影はどれくらいきれい？,0
光学品質ズームやテトラプリズムデザインって何？,0
ズームや回転でフレーミングは自由にできる？,0
48MP Fusionカメラでディテールはどれくらい残る？,0
バッテリー容量や内部設計でどれくらい長く使える？,0
動画編集や写真加工は快適？,0
アクセサリーやケースは前のモデルと使える？,0
安全機能は本当に役立つ？,0
ネットや通信は高速で安定してる？,0
外出先でも通信や撮影は問題ない？,0
iOS26は使いやすい？,0
プロ仕様の機能って日常でも使える？,0
新しいSwitchってどんな感じかな？,0
前のSwitchと比べて変わったところはどこ？,0
画面は見やすいかな？,0
携帯モードでもちゃんとゲームできる？,0
テレビモードで遊ぶとき画質はきれい？,0
4K出力できるの？フレーム落ちはある？,0
HDRって使える？携帯でもテレビでも？,0
画面は割れにくいかな？傷はつきにくい？,0
どのゲームが120fpsで遊べるの？,0
VRRをオンにすると何か変わる？,0
携帯モードで120fpsって安定する？熱くなる？,0
HDR対応のゲームは多いの？,0
ゲーム中のUIや文字は見やすい？,0
120fpsで遊ぶとバッテリーどれくらい減るかな？,0
Joy-Con 2って何が変わったの？,0
磁力でしっかりくっつく？取り外しは簡単？,0
Joy-Con 2でマウス操作はできる？使いやすいかな？,0
マウス操作は布やガラスでもちゃんと動く？,0
ボタンやスティックが大きくなったら操作感はどう？,0
Cボタンで何ができるの？,0
新しいアクセサリーは使える？前のは使える？,0
HD振動2ってどんな触感？前と違う？,0
腕ストラップは取り付けやすい？,0
Dockのファンはうるさいかな？,0
長時間プレイしても安定する？,0
CECやALLMって便利？どのテレビで使える？,0
USB-C端子は何に使えるの？カメラや周辺機器は接続できる？,0
充電しながらゲームできる？,0
テレビに接続したら自動で電源入る？入力切替もできる？,0
Dockで4K出力しながら120fpsできるの？,0
ゲームチャットってどう使う？ソフトは必要？,0
Cボタンでチャットの操作は簡単？,0
内蔵マイクの音質はどうかな？,0
通話中の周囲の音はちゃんと処理される？,0
ビデオチャットに必要なアクセサリーは何？,0
画面と音声を同時に共有できる？遅延はある？,0
複数人で遊ぶときマイクはうまく調整する？,0
背面スタンドは何度まで開くの？,0
テーブルモードで分割プレイは角度で困らない？,0
USB-Cでカメラ接続できる？,0
前のSwitchのカードやアクセサリーは使える？,0
公式カメラはどこで買える？,0
Joy-Con 2は単体で買える？前のJoy-Conと互換性ある？,0
4Kでカクつくときはどうしたらいい？,0
マウスモードが動かないときは原因は何？,0
Dockのファンが熱い/うるさいときはどうする？,0
ゲームチャットでマイクが聞こえないときはどうする？,0
テレビで遊ぶなら4K/60fpsは価値あるかな？,0
持ち運ぶなら1080p/120fpsは便利？重さや厚さはどう？,0
ゲームや動画を長時間使ったとき、本体は熱くなる？,0
スクロールやアプリ切り替えは快適かな？,0
カメラで撮った写真や動画をSNSにすぐアップできる？,0
友達と一緒に遊ぶときの操作は簡単？,0
屋外で画面は見やすい？反射で困らない？,0
耐久性はどう？落としても大丈夫かな？,0
携帯モードとテレビモードで操作感に差はある？,0
新しい機能って日常生活で便利に使える？,0
ゲームのロード時間は短い？,0
アップデートで機能は増えるの？,0
アクセサリーの取り付けは簡単かな？,0
周辺機器を接続するときトラブルは少ない？,0
この製品ってどんなもの？,0
何ができるの？,0
他のモデルと比べて何が違うの？,0
初心者でも使いやすい？,0
どんな人向けの商品なの？,0
見た目やデザインはどんな感じ？,0
性能はどれくらい良いの？,0
バッテリーはどれくらい持つの？,0
画面や映像はきれいなの？,0
カメラはどんな写真や動画が撮れる？,0
操作は簡単？,0
持ち運びやすい？,0
ゲームや動画は快適にできる？,0
音や振動など体験はどう？,0
耐久性はある？落としても大丈夫？,0
通信や接続は安定してる？,0
どんな付属品やアクセサリがある？,0
最新モデルにアップグレードする価値ある？,0
どれくらいの価格帯なの？,0
日常生活で使いやすい？,0
長時間使うとどうなる？,0
他の人はどんな風に使ってる？,0
初心者が知っておくべきことは？,0
買うときに注意することはある？,0
一番の特徴は何？,0
おすすめポイントはどこ？,0
逆に不便なところはある？,0
操作や設定は複雑？,0
家族や友達と一緒に使える？,0
初めて使うときに困ることはある？,0
イヤホンのメモリは最新ですか？,0
タブレットのメモリについて教えてください。,0
イヤホンの手ぶれ補正は最新ですか,0
ノートパソコンの充電方式は最新ですか,0
このイヤホンには心拍計測機能がありますか,0
タブレットのBluetoothについて教えてください。,0
このイヤホンのBluetoothはどのくらいですか,0
このスピーカーは手ぶれ補正に対応していますか？,0
このタブレットは画面サイズに対応していますか？,0
スマートウォッチの防水性能について教えて。,0
ノートパソコンのストレージについて教えて,0
スマホの解像度について教えてください。,0
このカメラには充電方式機能があるか,0
このカメラはメモリに対応しているか？,0
このスマホのストレージはどのくらいか？,0
イヤホンの心拍計測は最新ですか？,0
このスピーカーには手ぶれ補正機能があるか？,0
このスマホは防水性能に対応しているか？,0
イヤホンの画面サイズについて教えてください。,0
このノートパソコンは心拍計測に対応しているか？,0
スマートウォッチの心拍計測は最新ですか？,0
海外配送は可能ですか？,1
代引きは対応していますか？,1
領収書を発行できますか？,1
送料はいくらですか？,1
保証期間はどのくらいですか？,1
分割払いはできますか？,1
いつ発送されますか？,1
返品は可能ですか？,1
このイヤホンはいくらですか？,1
割引はありますか？,1
このカメラはいくらですか？,1
このスマートウォッチはいくらですか？,1
このタブレットはいくらですか？,1
お元気ですか？,1
最近どうですか？,1
暇なので話しませんか？,1
こんにちは！,1
今日はいい天気ですね。,1
おやすみなさい。,1
ありがとう！,1
こんばんは。,1
おはようございます。,1
週末の予定はありますか？,1
今日の天気ってどう？,1
明日の天気予報は？,1
今週末に出かけるならどこがいい？,1
渋谷まで行くにはどの電車に乗ればいい？,1
駅から家までの近道ある？,1
最近人気のカフェ教えて,1
おすすめのラーメン屋ある？,1
週末に行ける日帰り旅行スポットは？,1
夜景がきれいな場所ってどこ？,1
健康的な朝ごはんって何がいいかな？,1
簡単に作れる昼ごはんレシピある？,1
家でできる簡単運動教えて,1
ストレス解消法でおすすめある？,1
疲れたときのリフレッシュ方法は？,1
夜よく眠れる方法ってある？,1
英語の勉強効率よくするには？,1
日本語の作文のコツ知りたい,1
プログラミング初心者が最初に覚えるべきことは？,1
Pythonでリストをソートする方法は？,1
Excelで簡単に集計する方法ある？,1
Macでファイルまとめて名前変更する方法は？,1
スマホの写真をパソコンに移す簡単な方法ある？,1
勉強のモチベーション上げるにはどうしたらいい？,1
時間管理のコツってある？,1
仕事の効率を上げるアプリある？,1
家事を効率化する方法ってある？,1
旅行先で役立つアプリある？,1
おすすめの音楽は？,1
最近話題の映画教えて,1
Netflixで面白いドラマある？,1
友達と遊ぶゲームのおすすめは？,1
運動不足解消に家でできる運動は？,1
自転車通勤のコツ教えて,1
ペットの世話で気をつけることは？,1
植物を育てるコツある？,1
DIY初心者でもできる簡単な工作は？,1
掃除を効率よくする方法ってある？,1
洗濯の時に色移り防ぐコツある？,1
料理初心者でも作れる簡単レシピ教えて,1
節約のコツってある？,1
公共交通機関の乗り換え便利な方法は？,1
東京駅周辺でランチどこがいい？,1
温泉行くならどこがおすすめ？,1
アウトドアで役立つグッズある？,1
雨の日の遊び方教えて,1
子どもと家で楽しめる遊びある？,1
集中力を高める方法ってある？,1
勉強や仕事の合間にできるリラックス方法は？,1
友達に送る誕生日メッセージ考えてほしい,1
簡単にできるプレゼントのアイデアある？,1
自宅でできるヨガのポーズ教えて,1
肩こりを解消する簡単な方法は？,1
腰痛対策に良い運動ってある？,1
目の疲れをとる方法ある？,1
スマホ依存を減らす方法ってある？,1
睡眠の質を上げるにはどうしたらいい？,1
朝スッキリ起きる方法は？,1
昼寝を効率よく取るコツってある？,1
映画館で見るおすすめの映画は？,1
漫画で面白い作品教えて,1
アニメで人気の作品は？,1
海外ドラマで面白いのある？,1
国内旅行でおすすめの観光地は？,1
キャンプ初心者でも楽しめるコツは？,1
料理動画を簡単に作る方法は？,1
写真をきれいに撮るコツは？,1
スマホで簡単に動画編集する方法ある？,1
音楽を作りたいけど初心者でもできる方法ある？,1
ゲーム実況始めたいとき何が必要？,1
ブログを書くコツ教えて,1
SNSでフォロワーを増やす方法ある？,1
プレゼン資料作るときのコツは？,1
仕事の効率を上げるPC設定ってある？,1
集中できる作業環境の作り方は？,1
朝のルーティンでおすすめの習慣は？,1
夜のリラックスルーティンってある？,1
友達との会話が弾む話題は？,1
会議でうまく発言するコツある？,1
緊張せずに話す方法ってある？,1
家でできる筋トレメニュー教えて,1
ダイエットに効く簡単運動ある？,1
健康的な間食って何がいい？,1
ランニング初心者が注意することは？,1
水泳の効果的な練習方法は？,1
旅行時の荷造りのコツある？,1
海外旅行で注意することって？,1
飛行機で快適に過ごす方法ある？,1
宿泊先を選ぶときのポイントは？,1
イベントに行くとき便利な持ち物は？,1
道に迷ったときどうすればいい？,1
街歩きでおすすめのスポット教えて,1
美味しいお土産はどこで買える？,1
写真映えするカフェある？,1
雨の日でも楽しめる場所ある？,1
友達と一緒にできる趣味って何？,1
一人で楽しめる趣味は何かある？,1
最近話題のニュースまとめて教えて,1
政治や経済のニュースを簡単に理解する方法は？,1
健康診断で注意すべきことは？,1
薬の飲み忘れを防ぐ方法ある？,1
病気予防に日常でできることは？,1
外出時の安全対策って何かある？,1
災害時に役立つアプリや情報源は？,1
災害用持ち物リストってどんなものが必要？,1
自宅でできる防災対策ある？,1
車で移動するときの便利グッズは？,1
交通事故を防ぐコツは？,1
おはようございます、今日はいい天気ですね？,1
お昼ごはん、もう食べました？,1
最近どうしてる？,1
今週忙しかった？,1
今日は何してたの？,1
週末はどこか行く予定ある？,1
最近ハマってることある？,1
体調はどう？,1
元気にしてる？,1
昨日はよく眠れた？,1
コーヒー派？それともお茶派？,1
今何してるところ？,1
どこに住んでるの？,1
最近面白い映画見た？,1
音楽は何をよく聴く？,1
今日は仕事あった？,1
学校は楽しい？,1
最近ニュース見た？,1
昨日何食べたの？,1
趣味は何？,1
今日は雨降ってる？,1
ペット飼ってる？,1
今どこにいるの？,1
友達とよく会う？,1
朝は早起きした？,1
昼寝するタイプ？,1
お酒はよく飲む？,1
今日は暑いね？,1
今日は寒くない？,1
休日はどう過ごす？,1
最近旅行行った？,1
好きなスポーツある？,1
最近読んだ本は？,1
日本の生活どう？,1
外食は多い？,1
今日は調子いい？,1
疲れてない？,1
最近面白いことあった？,1
今日の夕飯は何？,1
最近よく寝れてる？,1
今日の気分は？,1
家でよく映画見る？,1
アニメ見る？,1
好きな食べ物は何？,1
苦手な食べ物ある？,1
週末は何して過ごした？,1
家族は元気？,1
今日忙しかった？,1
出身はどこ？,1
日本に来てどのくらい？,1
最近スポーツした？,1
よく散歩する？,1
スマホは何使ってる？,1
朝ごはん食べた？,1
昼はどこで食べた？,1
晩ごはんは自炊？外食？,1
最近天気が変わりやすいね？,1
好きな季節は？,1
夏と冬どっちが好き？,1
映画館よく行く？,1
最近YouTube見た？,1
今ハマってるゲームある？,1
今日はいい一日だった？,1
明日の予定は？,1
日本語の勉強は順調？,1
英語話せる？,1
最近料理した？,1
カフェはよく行く？,1
最近忙しい？,1
今日はゆっくりできた？,1
今日はどんな日だった？,1
仕事はどう？,1
学校はどう？,1
最近新しい友達できた？,1
今、眠い？,1
朝はパン派？ご飯派？,1
最近コンビニよく行く？,1
よく行くスーパーは？,1
最近買ったものは？,1
今日何時に起きた？,1
夜更かしするタイプ？,1
昼ごはんは何食べた？,1
週末はゆっくりできそう？,1
今、どんな服着てる？,1
最近寒くなってきたね？,1
花粉症ある？,1
最近運動不足？,1
昨日楽しかった？,1
最近外食した？,1
今日は家にいた？,1
出かけた？,1
最近健康診断した？,1
コーヒー好き？,1
紅茶好き？,1
最近甘いもの食べた？,1
今日はのんびりできた？,1
最近仕事で忙しい？,1
気分転換に何する？,1
明日は休み？,1
今日は何曜日だっけ？,1
この商品の特徴は何だ？,0
どんな特徴がある？,0
商品の特長を教えてください。,0
この商品は他と比べて何が違うか？,0
ポイントはどこだか？,0
商品の強みは何だか？,0
メリットは何でしょうか？,0
この製品の魅力を教えて。,0
この商品を選ぶ理由は何だか？,0
どこが特別なんですか？,0
おすすめのポイントは？,0
他の商品と比べた時の違いは？,0
この製品のセールスポイントは？,0
どんな良さがあるか？,0
どの点が優れているか？,0
商品の特徴について詳しく知りたいんだ。,0
この商品ならではの特徴は？,0
他と比べてのメリットは？,0
商品の良い点を教えて。,0
この製品のアピールポイントは？,0
この商品の長所は何ですか？,0
特徴を簡単に説明してもらえますか？,0
どんなところが人気なんですか？,0
他社製品との違いを知りたいです。,0
商品のセールス面での特徴は？,0
この商品はどういうところが便利？,0
おすすめの理由は何？,0
商品のこだわりポイントは？,0
この商品の魅力はどこにありますか？,0
どんな人に向いていますか？,0
この製品のユニークな点は？,0
他と差別化されている点は？,0
この商品を一言で表すと？,0
どのような特長があるの？,0
この商品を選ぶ利点は？,0
商品の強調されている点は？,0
どんな機能が売りなんですか？,0
この製品の特別なところは？,0
商品の違いを簡単に教えて。,0
どこが一番のポイント？,0
この商品の良さを一言で言うと？,0
他の商品にない特徴は？,0
メリットとデメリットを教えて。,0
この製品が優れている点は？,0
どのように使うのが特徴ですか？,0
この商品が他より優れている理由は？,0
商品の特徴や違いを教えてください。,0
おすすめされる一番の理由は？,0
どんなセールスポイントがありますか？,0
この製品ならではの強みは？,0
この商品ってどんな感じ？,0
どういう商品なんだか？,0
これって何がいいの？,0
どんなメリットがあるか？,0
これの魅力って何？,0
この製品は他のと何が違うの？,0
ポイントを簡単に知りたい。,0
おすすめされる理由は？,0
この商品の一番の売りは？,0
特徴を一言で説明できますか？,0
人気の理由は何？,0
どんな良さで選ばれているの？,0
どういう点が注目されていますか？,0
他社との違いを一言で言うと？,0
どこが一番違いますか？,0
一番の魅力ポイントはどこ？,0
おすすめの人はどんな人？,0
この商品にしかない特長は？,0
他にはない強みって何？,0
どういう点で便利なんですか？,0
なぜこれが人気なんですか？,0
買うとしたらどんなメリットがある？,0
簡単に特徴をまとめると？,0
この製品はどんなシーンで使える？,0
この商品の魅力的な点を教えて。,0
どういう部分が評価されていますか？,0
この商品の注目ポイントは？,0
どのように他と差をつけていますか？,0
この商品の一番大きな特長は？,0
どんな所に強みがありますか？,0
なぜおすすめされているの？,0
他の商品より優れている点は？,0
特徴的な機能は何？,0
どんな点で使いやすい？,0
この製品のアピール部分は？,0
一番のメリットを教えてください。,0
どの部分が進化していますか？,0
どんな人に特におすすめ？,0
どこが一番便利？,0
この商品の最大のポイントは？,0
他の製品との一番の違いは？,0
特徴的なポイントを3つ教えて。,0
なぜこの商品を選ぶ人が多い？,0
この製品ならではの価値は？,0
どんな点で注目されていますか？,0
この商品の特別なメリットは？,0
この商品って簡単に言うとどんなの？,0
結局何がすごいの？,0
特徴をわかりやすく教えて。,0
今日は元気？,1
最近どうしてる？,1
お昼ご飯食べた？,1
今日は暑いね。,1
寒くない？,1
週末は何するの？,1
昨日はよく眠れた？,1
朝ごはん何食べた？,1
今どこにいるの？,1
雨降ってる？,1
空は晴れてる？,1
散歩に行った？,1
コーヒー飲んだ？,1
今日は仕事忙しい？,1
休みの日は何してる？,1
最近見た映画ある？,1
好きな音楽は何？,1
どんな本読んでる？,1
旅行に行きたい場所は？,1
友達と会った？,1
疲れてない？,1
今日はどんな日だった？,1
昨日の夜何してた？,1
今日は朝から元気？,1
体調どう？,1
どんなスポーツ好き？,1
今何考えてる？,1
最近楽しかったことは？,1
好きな食べ物は何？,1
嫌いな食べ物ある？,1
朝早く起きた？,1
休日はよく寝る？,1
今日は何時に起きた？,1
好きな飲み物は？,1
コーヒー派？紅茶派？,1
最近ニュース見た？,1
天気予報見た？,1
今何してる？,1
今日の予定は？,1
週末はどこ行く？,1
ゲームする？,1
最近ハマってることある？,1
好きなアニメは？,1
ペット飼ってる？,1
料理する？,1
最近何食べた？,1
今日は何食べる予定？,1
今眠い？,1
最近運動してる？,1
散歩好き？,1
外出るの好き？,1
家にいるの好き？,1
昨日の夕飯は何？,1
今音楽聴いてる？,1
好きな歌手は？,1
趣味は何？,1
将来やりたいことある？,1
海外に行きたい？,1
好きな季節は？,1
夏と冬どっち好き？,1
春が好き？秋が好き？,1
好きな色は？,1
どんな服が好き？,1
買い物好き？,1
カフェによく行く？,1
お酒飲む？,1
今日は歩いた？,1
最近笑ったことは？,1
ちょっと疲れてない？,1
今何して遊んでる？,1
友達と連絡取った？,1
好きなテレビ番組は？,1
よく見るYouTubeある？,1
最近スマホで何してる？,1
よく使うアプリは？,1
運動不足感じる？,1
何時間寝てる？,1
今日は眠そうだね。,1
元気出てきた？,1
何か楽しいことある？,1
最近おいしいもの食べた？,1
週末はゆっくりできた？,1
今日はどこか行った？,1
今空いてる？,1
暇なとき何する？,1
昨日は早く寝た？,1
今テレビ見てる？,1
最近映画館行った？,1
家で映画見る？,1
勉強してる？,1
仕事の調子はどう？,1
最近忙しい？,1
リラックスできてる？,1
疲れたときどうする？,1
ストレス発散法は？,1
今日は良い一日だった？,1
明日の予定は？,1
今気分はどう？,1
今日は楽しかった？,1
週末楽しみ？,1
また話そうね。,1
